,1A1,1A16,1A19,1A21,1A24,1A3,1A6,1A7,1B15,1B18,1B21,1B23,1B26,1B30,1B7,1B9,1C11,1C13,1C15,1C18,1C20,1C23,1C25,1D12,1D20,1D24,1D27,1D30,1D32,1D5,1D7,1D9,1E1,1E12,1E14,1E17,1E23,1E29,1E3,1E31,1E6,1EX3,1EX5,1F10,1F14,1F21,1F23,1F28,1F3,1F31,1F7,1G11,1G13,1G16,1G23,1G25,1G30,1G32,1G8,1H16,1H19,1H2,1H6,1H9,Status
0,-27201.715364021977,-29315.367708526115,-23736.37801709044,-8613.312210697663,-37266.72801641989,-35991.980371831676,-24534.095293110327,-26776.52864965967,-41875.12575126444,-15614.393024468005,-20403.19667596797,-38328.06980532824,-22602.692611854825,-1241.8570812855394,-18524.85639666655,-12288.93041908326,-16350.67291400867,-3513.696633499658,-16377.01661533216,-18034.107303446966,-19007.886754148407,-8488.968690453092,-20492.41526111455,-35767.574536477,-15533.143174597213,-31166.64553783211,-24808.126036770704,-27353.30883391552,-17387.35849847546,-30943.802199590336,-31098.239414229356,-26128.467347113332,-24670.501291066485,-30789.39623489357,-32687.580227528822,-16500.42263730899,-29184.055451158012,-28111.65118269033,-6114.223078383389,-14225.645590522621,-21847.037758114202,-19079.824121226316,-23347.691235285474,-4889.569091234747,-22011.287454622234,-20354.728015525816,-24122.3148039767,-19344.07363295994,-17508.295775013907,-15107.393961274262,-17269.796215700877,-24506.814093519097,-30675.89644461253,-33804.98441284802,-24836.375984571932,-20325.32181986104,-28181.05730444534,-30111.491237490845,-25250.000220298778,-36561.29181988786,-38695.28787680196,-10714.93332743247,-26763.59117356486,-31165.2392904305,30
1,-27198.465370027145,-29312.836463203217,-23746.252998843967,-8607.593471264448,-37264.79051999989,-35990.94912373716,-24543.59527555676,-26786.71613083578,-41876.62574849282,-15615.799271869615,-20405.259172157,-38329.31980301856,-22602.7863616816,-1243.2945786294072,-18526.950142797836,-12291.024165214547,-16349.079166953512,-3513.97788297998,-16375.235368623456,-18032.32605673826,-19005.918007786153,-8486.562444899226,-20490.446514752297,-35772.51202735376,-15535.018171132691,-31175.86427079822,-24813.59477666585,-27359.652572193892,-17391.88974010287,-30942.864701322596,-31088.551932129376,-26128.842346420428,-24664.15755278811,-30787.896237665187,-32690.017723024946,-16502.29763384447,-29184.211700869302,-28115.21367610774,-6117.754321858542,-14222.55184623908,-21845.287761347754,-19082.042867126635,-23349.097482687084,-4889.756590888295,-22010.193706643204,-20359.446756806774,-24124.752299472824,-19346.136129148967,-17513.452015486477,-15106.550212833296,-17270.35871466152,-24507.09534299942,-30675.646445074464,-33813.42189725768,-24842.188473831917,-20327.728065414907,-28180.713555080503,-30111.647487202135,-25250.2814697791,-36557.5418268169,-38694.256628707444,-10716.558324429887,-26766.99741727098,-31169.14553321275,30
2,-27225.121570773215,-29338.742665335096,-23764.12796581554,-8650.780891465,-37294.72796468305,-36016.19907708163,-24568.501479536382,-26808.934839781214,-41902.28195108664,-15635.6742351457,-20431.57162353823,-38352.03851104012,-22622.380075477366,-1265.0132884987152,-18550.481349318106,-12312.68037519934,-16375.141618796682,-3534.72784463929,-16397.32907779986,-18054.732265337243,-19028.042966904814,-8509.031153382726,-20512.665223697735,-35802.19947249886,-15561.830621590054,-31205.582965885576,-24840.688476603536,-27389.683766703827,-17422.702183169255,-30967.395905995123,-31115.20813287545,-26152.904801959085,-24689.657505670635,-30815.583686505775,-32716.361424348437,-16528.610085225704,-29212.274149016983,-28139.526131184466,-6144.504272431388,-14245.114304549354,-21863.81897710675,-19114.011558056565,-23378.00367927573,-4911.069051508249,-22032.381165646384,-20388.790452587033,-24158.752236649525,-19371.01108318633,-17542.326962132865,-15129.706420046472,-17294.67116973824,-24528.626553215177,-30695.05265921668,-33828.82811879087,-24875.438412394426,-20355.44676419775,-28204.33851142755,-30134.17869557015,-25272.062679532923,-36585.41677531104,-38721.94407754803,-10743.68327430983,-26795.84111397511,-31190.05174458335,30
3,-27232.465307203845,-29343.648906269602,-23760.752972051676,-8657.749628588534,-37293.415467108214,-36022.167816052905,-24570.501475840894,-26808.091091340248,-41905.09444588985,-15632.767990515707,-20435.134116955644,-38352.69475982754,-22619.34883107834,-1263.4820413280731,-18550.793848740686,-12312.274125949985,-16379.547860655059,-3539.10283655541,-16399.110324508565,-18062.076001767873,-19030.76171188126,-8515.406141603356,-20518.415213073204,-35793.19948912856,-15568.455609348748,-31201.48922344978,-24840.407227123214,-27390.027516068665,-17424.48342987796,-30957.677173952885,-31124.301866072525,-26142.748570725234,-24687.282510059027,-30820.05242824867,-32718.923919613593,-16529.203834128606,-29218.11788821923,-28142.27612610317,-6139.066782478497,-14241.301811593878,-21865.443974104164,-19119.26154835591,-23377.472430257345,-4904.19406421149,-22028.06867361478,-20391.384197794447,-24164.1272267179,-19369.886085265043,-17544.92070734028,-15126.76892547422,-17291.764925108248,-24533.657793918715,-30701.052648130215,-33827.20312179346,-24888.094639008916,-20361.54050293806,-28208.86975305496,-30137.991188525626,-25275.8751724884,-36588.760519132644,-38724.881572120285,-10745.308271307244,-26799.184857796718,-31183.333006997884,30
4,-27213.21534277292,-29324.242692127387,-23744.62800184655,-8634.374671779551,-37276.25924880858,-36003.386600755846,-24549.595264470292,-26788.74737708255,-41883.46948584732,-15608.455535438985,-20414.946654256975,-38328.00730544372,-22591.28638293066,-1236.7945906397438,-18530.418886388474,-12290.617915965193,-16360.141646512844,-3518.134125300294,-16375.7978675841,-18041.763539300173,-19009.949250337435,-8496.124927230174,-20498.790249335183,-35761.63704744798,-15533.861923269147,-31174.051774147258,-24812.938527878432,-27359.652572193892,-17397.108480459956,-30921.08349156877,-31103.520654470958,-26102.436145212418,-24655.032569648774,-30798.45871814839,-32698.798956799445,-16503.641381361565,-29195.83667938928,-28118.99491912096,-6119.004319548862,-14210.770618007815,-21841.412768507762,-19098.855336061435,-23353.659974256752,-4871.569124494141,-21996.41248210743,-20366.196744334502,-24140.15852100602,-19340.0111404664,-17520.389502667753,-15095.331483562675,-17261.702480656055,-24513.189081739725,-30680.802685547034,-33808.171906958334,-24877.84465794829,-20347.07177967261,-28192.80728273435,-30120.428720976633,-25261.53144899198,-36565.135562785596,-38702.037864329686,-10720.87081646149,-26775.247402027093,-31162.083046262444,30
5,-27203.902859980037,-29317.398954772885,-23740.815508891075,-8624.593439852799,-37269.63426104988,-35997.82411103392,-24548.907765740616,-26787.997378468357,-41875.40700074476,-15599.143052646103,-20405.946670886675,-38316.63232646181,-22579.348904988103,-1222.6696167391292,-18525.32514580042,-12285.367925665849,-16354.360407195114,-3509.6341410061186,-16367.735382481536,-18035.388551079544,-19004.41801055777,-8489.281189875672,-20493.35275938229,-35759.60580120121,-15518.893200927565,-31167.083037023724,-24805.001042544904,-27352.277585821004,-17390.889741950614,-30918.33349665007,-31093.551922890656,-26104.842390766284,-24640.251346960744,-30791.833730389695,-32691.892719560426,-16496.110145277387,-29189.71169070671,-28110.11993551969,-6106.816842068244,-14195.114396936558,-21834.16278190391,-19097.136589237245,-23346.566237364186,-4861.069143895454,-21980.78751097843,-20353.384268008722,-24129.596040522814,-19323.698670607726,-17508.57702449423,-15079.581512664645,-17248.733754618985,-24505.626595713293,-30675.302695709626,-33796.48442855384,-24871.000920593793,-20339.009294570045,-28189.21353937468,-30116.209978771803,-25262.187697779398,-36559.510573179155,-38696.16287518518,-10715.87082570021,-26770.216161323555,-31163.55179354857,30
6,-27232.121557839007,-29348.023898185722,-23761.440470781352,-8646.530899317913,-37296.32171173821,-36024.10531247289,-24573.56397018218,-26811.93483423798,-41895.56321350117,-15617.205519271223,-20426.13413358534,-38335.72604118144,-22597.067622248385,-1238.8883367710296,-18546.04385751747,-12306.367886863223,-16382.547855111827,-3533.852846256066,-16392.016587616,-18061.919752056583,-19029.542964133198,-8517.68738738819,-20518.883962207074,-35787.449499753086,-15544.361903867833,-31191.64549163851,-24833.62598965323,-27381.24628229417,-17418.170941541845,-30951.989684461932,-31113.98938512739,-26144.311067838134,-24660.28255994812,-30822.583673571564,-32721.673914532297,-16522.641346254426,-29217.18038995149,-28137.151135572858,-6128.504301995294,-14215.801858711351,-21859.787734555466,-19120.074046854617,-23366.75370006285,-4882.850353649278,-22001.287473099674,-20372.821732093198,-24151.81474946825,-19343.542383941553,-17528.326988001285,-15100.237724497181,-17267.952469107655,-24532.689045708717,-30701.61514709086,-33824.45312687475,-24899.938367124698,-20359.97800582516,-28216.400989139136,-30144.553676399806,-25286.062653664507,-36586.19802386749,-38723.81907408351,-10741.18327892919,-26795.71611420608,-31196.114233381402,30
7,-27246.371531508656,-29360.773874626986,-23775.53419473971,-8662.96836894562,-37305.66544447335,-36037.32403804803,-24588.751442119563,-26826.90355657956,-41907.875690750814,-15626.299252468301,-20437.790362047574,-38345.10102385884,-22605.848856022883,-1249.1070678893946,-18558.043835344542,-12315.274120406752,-16400.172822545337,-3550.8528148444166,-16405.57906255597,-18081.26346631428,-19044.542936417038,-8535.687354128797,-20534.88393264317,-35800.3869758479,-15553.018137873298,-31208.301710862022,-24848.625961937065,-27400.808746147675,-17437.702155453095,-30961.770916388683,-31122.551869306077,-26148.74855963877,-24669.907542163583,-30839.67739198669,-32738.548883351614,-16541.485061436,-29238.18035114886,-28153.682355027337,-6134.348041197539,-14223.8018439294,-21875.537705453495,-19131.730275316848,-23376.816181469927,-4889.850340715069,-22009.193708490948,-20382.634213962207,-24163.533477815,-19352.886116676695,-17538.670718888683,-15109.050208213936,-17276.88995259344,-24555.626503326086,-30723.24010713339,-33855.64056924823,-24902.969611523724,-20368.665489772884,-28232.15096003717,-30160.83489631622,-25299.531378777705,-36603.104242629066,-38737.50654879251,-10751.93325906594,-26808.622340358634,-31207.08296311396,30
8,-27230.37156107256,-29343.461406616054,-23760.159223148774,-8646.562149260171,-37286.196730446616,-36023.41781374322,-24570.532725783152,-26810.37233712508,-41889.50072470312,-15606.830538441569,-20420.5091439789,-38324.78856139115,-22585.16139424809,-1228.1071066920208,-18540.60636756458,-12297.430403377435,-16380.579108749573,-3528.165356765111,-16384.5791013586,-18059.701006156265,-19023.980474411277,-8514.406143451102,-20513.915221388055,-35782.762008414385,-15526.924436087871,-31189.332995911416,-24825.46975472389,-27380.30878402643,-17415.10844720056,-30934.20846731713,-31104.833152045794,-26122.467358199796,-24642.8138422259,-30816.802434253837,-32715.20517648489,-16521.297598737332,-29212.742898150853,-28132.869893483512,-6107.03559166405,-14195.770645723976,-21857.600238597406,-19116.57405332172,-23363.753705606083,-4864.10038829448,-21982.97500693649,-20355.978013216136,-24143.471014885366,-19327.417413736424,-17515.26451213744,-15080.706510585933,-17251.358749768657,-24542.751527115794,-30709.146383175037,-33848.07808322179,-24857.563445422853,-20340.82179122101,-28212.27599676108,-30142.428680326262,-25280.937663134195,-36584.823026408136,-38719.94408124352,-10731.120797522113,-26793.559868190277,-31182.27050896111,30
9,-27217.496584862267,-29325.648939528997,-23747.90924578364,-8633.405923569553,-37274.19675261955,-36010.32408793712,-24549.220265163196,-26793.591118132535,-41873.56325415154,-15591.736816330957,-20404.259174004743,-38308.16359210989,-22568.75517456264,-1210.1071399514144,-18526.012644530096,-12285.149176070043,-16360.235396339616,-3501.1654066542014,-16362.860391489288,-18032.732305987614,-19000.386768006487,-8489.999938547606,-20492.91526019068,-35768.79328422506,-15512.549462649193,-31174.30177368532,-24806.657289484578,-27358.3088246768,-17394.483485310284,-30919.958493647482,-31093.208173525818,-26111.873627774334,-24623.43887802594,-30797.021220804523,-32694.923963959453,-16502.078884248665,-29189.992940187032,-28112.963680265166,-6093.754366204401,-14174.301935392732,-21834.63153103778,-19101.60533098014,-23355.409971023197,-4847.287919359677,-21963.912542159112,-20337.478047399403,-24131.502287000552,-19306.698702019374,-17497.07704574329,-15060.76904742533,-17232.14003527999,-24520.532818170355,-30690.115168339915,-33823.296879011206,-24838.59473047225,-20320.47807881105,-28188.338540991455,-30120.61622063018,-25259.687702398758,-36567.635558166236,-38705.506607920324,-10716.18332512279,-26779.68489382773,-31159.426801170513,30
